Тайтл,Общее время (ч.),Количество просмотров,Количество платных просмотров,Среднее время (сек),Binge-Watch Rate,Средняя глубина просмотра тайтла (%),Источник: Главная (%),Источник: Пуш (%),Источник: Список эпизодов (%),Источник: Следующий эпизод (%),Источник: Диплинк (%),Источник: Лента (%),Источник: История (%),Источник: Поиск (%),Источник: Жанр (%),Источник: Избранное (%),Источник: Карусель (%),Источник: Внутри подборки (%),Источник: Каталог (%),Источник: Предыдущий эпизод (%),Retention 3 (%),Retention 5 (%),Retention 10 (%),Retention 15 (%),Источник: Подборка (%),Retention 30 (%),Источник: Внутри карусели (%)
My Sex Ski Instructor,538.8927777777777,31601,403,61.390905351096485,5.557894736842106,7.774016578972518,0.9778171576848834,0.0,1.6898199424068858,76.04506186513085,0.05379576595677352,2.9113002753077435,0.3354324230245878,0.9556659599379767,0.1550583842283472,0.22151197746906742,9.528179487990887,0.20568969336413404,0.8290876870985096,2.8891490775608366,88.28834530552831,82.83915065978924,76.03556849466788,73.00085440334166,1.8100693016043796,67.77633619189267,0.14240055694440049
Бумажные сердца,355.96805555555557,20954,0,61.15705831822086,6.687083080654943,9.168928338280248,0.0,0.014317075498711463,2.9779517037319843,65.944449747065,0.004772358499570487,7.153765390856161,0.3054309439725112,1.3458050968788775,0.1527154719862556,0.13362603798797365,5.8700009544717,0.24339028347809488,0.7635773599312781,7.3351150138398395,83.8455664789539,77.28357354204448,70.59749928414622,67.32366135344087,5.889090388469982,62.74696955235277,0.0
Divorce on the wedding day,314.25416666666666,23640,0,47.85596446700507,7.603492884864165,8.561010980469074,0.0,0.021150592216582064,1.916243654822335,61.99661590524535,1.2732656514382403,13.845177664974619,1.6032148900169205,0.7191201353637902,0.2326565143824027,0.08883248730964467,6.924703891708968,0.22419627749576987,0.5795262267343486,5.274957698815567,83.31218274111676,76.12521150592217,68.83671742808798,65.41032148900169,4.458544839255499,60.55414551607445,0.0
Рождество с секретным миллиардером,309.77944444444444,22431,0,49.71717712094869,6.889583333333333,20.83655555204711,0.0,0.013374348000534974,1.4934688600597388,54.83482680219339,0.2630288440105212,23.503187552940126,0.5973875440238955,0.7534216040301369,0.22736391600909456,0.06687174000267487,9.179260844367171,0.22736391600909456,0.38785609201551424,5.037671080201507,81.86438411127457,73.1175605189247,62.50724443850029,58.53060496634122,2.982479604119299,53.92091302215684,0.0
Million Dollar Twins,263.5105555555556,15939,233,59.516782734174036,3.781214203894616,9.176094050132393,1.0979358805445762,0.03764351590438547,1.173222912353347,72.68335529205095,0.006273919317397578,3.4569295438860657,0.2321350147437104,0.727774640818119,0.30742204655248134,0.1756697408871322,10.370788631658197,0.5521048999309869,1.173222912353347,2.534663404228622,87.73448773448773,81.8809210113558,74.65336595771379,71.24662776836689,4.912478825522304,65.68166133383525,0.15684798293493946
50 Women of My Son,237.39833333333334,14951,206,57.16233027891111,4.426810477657935,5.819932222891404,1.1370476891177848,0.053508126546719284,2.113570998595412,72.74429804026487,0.013377031636679821,3.518159320446793,0.9029496354758879,0.48826165473881344,0.14714734800347803,0.15383586382181794,11.370476891177848,0.22072102200521704,0.5685238445588924,2.7222259380643434,83.68002140325062,77.09852183800415,69.7679085011036,66.53735536084542,1.712260049495017,61.3203130225403,0.23409805364189687
Damn! The Duke Got The Wrong Girl,199.16027777777776,17647,0,40.62883209610699,5.722575516693164,3.5389179941736777,0.0,0.017000056666855556,1.530005100017,52.72850909503032,0.06800022666742223,25.143083810279368,1.8700062333541112,0.48733495778319263,0.15866719555731854,0.24933416444721482,10.664702215674053,0.20400068000226668,0.6856689522298408,3.989346631155437,80.01360004533349,71.2359041196804,60.5258684195614,55.60718535728452,1.6376721255737519,50.325834419448064,0.0
28 Days of Love Without Sex,186.89638888888888,12661,236,53.14169496880183,4.17124394184168,6.881424356769124,1.3506042176763289,0.03159308111523576,1.5954505963194061,65.97425163889108,0.023694810836426824,3.617407787694495,0.3475238922675934,1.1215543795908696,0.2132532975278414,0.07898270278808942,16.049285206539768,0.2527446489218861,1.6270436774346417,2.803885948977174,85.5935550114525,78.59568754442778,71.08443250928046,67.53021088381644,2.006160650817471,61.96193033725614,0.23694810836426822
I fell in love with a waiter,159.49388888888888,15385,196,37.3206369840754,3.8888054094665665,16.339308327333676,0.864478388040299,0.0,1.76145596360091,65.29736756581086,0.5654858628534286,4.088397790055248,0.5199870003249919,3.5294117647058822,0.25349366265843354,0.14299642508937277,14.49463763405915,0.22749431264218395,0.6109847253818654,3.633409164770881,85.25836854078648,78.99252518687032,71.60220994475138,68.10529736756581,2.729931751706207,62.892427689307766,0.16899577510562236
One Night Stand,128.51888888888888,8834,95,52.373556712700925,4.8442776735459665,5.7779064898482515,0.4414761150101879,0.04527960153950645,0.8716323296354992,70.20602218700475,0.1697985057731492,4.980756169345709,0.19243830654290242,0.554675118858954,0.10187910346388952,0.022639800769753225,0.0,0.7357935250169798,4.663798958569164,4.403441249717003,85.73692551505546,79.65813900837672,71.77948834050261,68.31559882273037,12.361331220285262,61.79533620104143,0.0
